
="",="(1)",="(2)",="(3)",="(4)"
="",="lev",="lev",="lev",="lev"

="npr",="0.00000945",="0.000000860",="0.00000892",="0.0000131"
="",="(.)",="(0.00000101)",="(0.00000992)",="(0.0000137)"

="size",="0.00000119",="0.000000122",="0.00000224",="0.00000166"
="",="(.)",="(0.000000158)",="(0.00000222)",="(0.00000162)"

="tang",="-1.000",="-1.000***",="-1.000***",="-1.000***"
="",="(.)",="(0.000000746)",="(0.0000425)",="(0.0000294)"

="growth",="-0.00000280",="-2.98e-08",="-0.00000479",="-0.00000287"
="",="(.)",="(2.73e-08)",="(0.00000438)",="(0.00000264)"

="ndts",="-0.00000113",="0.000000110",="-0.00000180",="-0.00000107"
="",="(.)",="(9.32e-08)",="(0.00000221)",="(0.00000133)"

="0.soe",="",="",="",="0"
="",="",="",="",="(.)"

="1.soe",="",="",="",="0.00000240"
="",="",="",="",="(0.00000255)"

="0.soe#c.npr",="",="",="",="0"
="",="",="",="",="(.)"

="1.soe#c.npr",="",="",="",="-0.0000220"
="",="",="",="",="(0.0000234)"

="_cons",="1.000",="1.000***",="1.000***",="1.000***"
="",="(.)",="(0.00000328)",="(0.0000327)",="(0.0000250)"

="N",="42803",="12730",="27167",="39939"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
