stkcd,fixed_assets_net,total_liab,total_assets,year,net_profit,depreciation,soe,ind_code,listing_state,m2_growth,lev,npr,size,tang,ndts,total_assets_lag1,growth,ind1,is_finance
1,1182796360000,75380584000,1258176944000,2011,13257489000,295086928000,0,I0199,,17.32296597385709,.0599125459733428,.0105370624245043,27.86068491932376,.9400874540266572,.234535316679591,727207076000,.7301494794585854,I,0
2,296663420087.27,82138194988.10001,378801615075.37,2012,21070185138.11,121589425857.3,1,K70,,14.39164522517929,.2168369714362411,.0556232716534687,26.66027846191178,.783163028563759,.3209844441479148,296208440030.05,.2788346444042615,K,0
2,373765900091.91,105439423398.63,479205323490.54,2013,24291011249.3,175676750862.04,1,K70,,13.5889081628378,.2200297413864424,.0506901949092799,26.89539499280644,.7799702586135575,.3666001654205497,378801615075.37,.2650561782720823,K,0
2,392515138495.68,115893616919.97,508408755415.65,2014,25252363233.49,185327617134.9,1,K70,,11.01192923792956,.227953621343954,.0496694106159618,26.95455159762335,.772046378656046,.3645248339269556,479205323490.54,.0609413762609976,K,0
2,474985950368.27,136309617321.02,611295567689.29,2015,33802617619.1,211065034775.81,1,K70,,13.34310844471526,.2229847957777172,.0552966836433554,27.13884642332384,.7770152042222829,.3452749307076448,508408755415.65,.2023702604993984,K,0
2,668997642643.14,161676571281,830674213924.14,2016,39253611726.28,312835615743.5,1,K70,,11.33311636279569,.1946329482375925,.0472551224876047,27.44550351392785,.8053670517624075,.3766044623747875,611295567689.29,.3588749171928496,K,0
2,978672978646.26,186673939158.29,1165346917804.55,2017,51141952665.41,412260886827.86,1,K70,,9.042748404443584,.1601874397282257,.0438856034062017,27.78403994214072,.8398125602717742,.3537666599784183,830674213924.14,.4028928529024659,K,0
2,1292958626477.23,235620729997.58,1528579356474.81,2018,67460201390.98,423950147793.09,1,K70,,8.076331386414997,.1541436033396169,.0441326131386177,28.05535989480649,.845856396660383,.277349125511415,1165346917804.55,.3116946834635047,K,0
2,1459350334988.27,270579115412.96,1729929450401.23,2019,76539289517.59,469848722025.37,1,K70,,8.744772290921404,.1564104913932781,.0442441681652613,28.17910174349181,.8435895086067219,.2715999325385182,1528579356474.81,.1317236773305449,K,0
2,1519332620662.33,349844473343.22,1869177094005.55,2020,79675752923.39,508361911571.79,1,K70,,10.08347580099083,.1871649692611637,.0426261124100601,28.25651939326016,.8128350307388363,.2719709722541039,1729929450401.23,.0804932499253214,K,0
2,1545865352173.99,392772776525.09,1938638128699.08,2021,52222631202.95,484216017353.85,1,K70,,8.967617464089015,.2026024200755092,.026937792272761,28.29300684697362,.7973975799244908,.2497712235128597,1869177094005.55,.0371612914133666,K,0
2,1352132937796.74,404991506406.21,1757124444202.95,2022,52386185416.63,365673401731.83,1,K70,,11.81003437199093,.2304853863608496,.029813588667246,28.19469975028781,.7695146136391504,.2081089947489196,1938638128699.08,-.093629482371697,K,0
2,1101916641170.57,402933530947.26,1504850172117.83,2023,29805428126.44,321128670541.45,1,K70,,9.698250482791909,.2677565769754985,.0198062429593863,28.03971445576354,.7322434230245014,.2133957761984464,1757124444202.95,-.1435722284311821,K,0
2,947405197282.08,338854662483.74,1286259859765.82,2024,-47186559181.39,219622163821.02,1,K70,,7.274370826491445,.2634418386852504,-.0366850903595646,27.88275978957808,.7365581613147495,.1707447854751566,1504850172117.83,-.1452571933087398,K,0
2,784762773496.17,235860058036.69,1020622831532.86,2025,-73923814314.97,140173125150.83,1,K70,,8.535829132077254,.2310942404477224,-.0724301005533502,27.65143417602257,.7689057595522777,.137340769596841,1286259859765.82,-.206518944221211,K,0
6,5794468428.18,3548961831.39,9343430259.57,2012,845184727.4299999,4127565102.08,1,K70,,14.39164522517929,.3798349998658125,.0904576482030591,22.95793928724029,.6201650001341875,.4417612148228265,8321974063.4,.1227420547562578,K,0
6,5781251216.87,4186908808.12,9968160024.99,2013,926275160.74,2886779835.41,1,K70,,13.5889081628378,.4200282497094242,.0929233838961097,23.02266185273404,.5799717502905758,.2896000694383812,9343430259.57,.0668629987129321,K,0
